name,team,position,bats,throws,all_star,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,babip,b_rbi,r_run,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
"Freeman, Freddie",Dodgers,1B,Left,Right,true,518692,2023,33,637,730,211,121,59,2,29,121,72,16.6,9.9,0.331,0.567,0.410,0.977,0.370,102,131,0.323,0.565,0.411,0.408,0.403,0.243,90,15.2,46.6,11.1
"McNeil, Jeff",Mets,2B,Left,Right,false,643446,2023,31,585,648,158,119,25,4,10,65,39,10,6,0.270,0.378,0.333,0.711,0.288,55,75,0.251,0.340,0.314,0.294,0.316,0.090,86,14.4,32.1,1.3
"Witt Jr., Bobby",Royals,SS,Right,Right,false,677951,2023,23,641,694,177,108,28,11,30,121,40,17.4,5.8,0.276,0.495,0.319,0.814,0.295,96,97,0.294,0.533,0.343,0.369,0.338,0.239,90.7,15.7,34.4,11.5
"Suwinski, Jack",Pirates,CF,Left,Left,false,669261,2023,24,447,534,100,51,21,2,26,172,75,32.2,14,0.224,0.454,0.339,0.793,0.290,74,63,0.218,0.461,0.341,0.346,0.337,0.244,90.5,22.4,34.2,15.7
"Bregman, Alex",Astros,3B,Right,Right,false,608324,2023,29,622,724,163,106,28,4,25,87,92,12,12.7,0.262,0.441,0.363,0.804,0.270,98,103,0.266,0.430,0.351,0.351,0.368,0.163,88.6,17.6,35.8,5.4
"Hoerner, Nico",Cubs,2B,Right,Right,false,663538,2023,26,619,688,175,135,27,4,9,83,49,12.1,7.1,0.283,0.383,0.346,0.729,0.312,68,98,0.272,0.355,0.322,0.310,0.338,0.083,86.6,10.5,33,1.8
"Ramírez, José",Guardians,3B,Switch,Right,true,608070,2023,30,611,691,172,107,36,5,24,73,73,10.6,10.6,0.282,0.475,0.356,0.831,0.285,80,87,0.299,0.480,0.346,0.359,0.373,0.182,90,18,36.8,7
"Arraez, Luis",Marlins,2B,Left,Right,true,650333,2023,26,574,617,203,160,30,3,10,34,35,5.5,5.7,0.354,0.469,0.393,0.862,0.362,69,71,0.329,0.458,0.369,0.354,0.371,0.129,88.3,11.5,44.7,3.5
"Rooker Jr., Brent",Athletics,LF,Right,Right,true,667670,2023,28,463,526,114,63,20,1,30,172,49,32.7,9.3,0.246,0.488,0.329,0.817,0.317,69,61,0.237,0.478,0.348,0.343,0.322,0.241,91.6,17.6,37.3,15.6
"Outman, James",Dodgers,CF,Left,Right,false,681546,2023,26,483,567,120,78,16,3,23,181,68,31.9,12,0.248,0.437,0.353,0.790,0.343,70,86,0.228,0.396,0.344,0.325,0.336,0.167,87.9,15.7,38.2,11.1
"Acuña Jr., Ronald",Braves,RF,Right,Right,true,660670,2023,25,643,735,217,137,35,4,41,84,80,11.4,10.9,0.337,0.596,0.416,1.012,0.338,106,149,0.357,0.660,0.428,0.460,0.435,0.303,94.7,7.4,33.6,15.3
"Semien, Marcus",Rangers,2B,Right,Right,true,543760,2023,32,670,753,185,112,40,4,29,110,72,14.6,9.6,0.276,0.478,0.348,0.826,0.291,100,122,0.262,0.427,0.354,0.333,0.337,0.165,88.4,19.1,37.5,6.5
"Kwan, Steven",Guardians,LF,Left,Left,false,680757,2023,25,638,718,171,123,36,7,5,75,70,10.4,9.7,0.268,0.370,0.340,0.710,0.294,54,93,0.282,0.358,0.313,0.317,0.353,0.076,86,10.7,37.7,1.1
"Grisham, Trent",Padres,CF,Left,Left,false,663757,2023,26,469,555,93,48,31,1,13,154,75,27.7,13.5,0.198,0.352,0.315,0.667,0.264,50,67,0.218,0.396,0.299,0.322,0.332,0.178,90.3,18.3,32.8,11.9
"Jung, Josh",Rangers,3B,Right,Right,true,673962,2023,25,478,515,127,78,25,1,23,151,30,29.3,5.8,0.266,0.467,0.315,0.782,0.340,70,75,0.260,0.482,0.334,0.337,0.309,0.222,91.8,15,41.9,11.9
"Nootbaar, Lars",Cardinals,CF,Left,Right,false,663457,2023,25,426,503,111,73,23,1,14,99,72,19.7,14.3,0.261,0.418,0.367,0.785,0.307,46,74,0.265,0.436,0.344,0.356,0.372,0.171,89.1,7.2,30.8,8.8
"Stephenson, Tyler",Reds,C,Right,Right,false,663886,2023,26,465,517,113,78,20,2,13,135,47,26.1,9.1,0.243,0.378,0.317,0.695,0.314,56,59,0.243,0.397,0.305,0.314,0.318,0.154,89.4,8.9,33.5,7.6
"Davis, J.D.",Giants,3B,Right,Right,false,605204,2023,30,480,546,119,77,23,1,18,152,52,27.8,9.5,0.248,0.412,0.325,0.737,0.320,69,61,0.244,0.411,0.321,0.323,0.325,0.167,91.1,7.8,33.5,9.6
"Muncy, Max",Dodgers,3B,Left,Right,false,571970,2023,32,482,579,102,48,17,1,36,153,85,26.4,14.7,0.212,0.475,0.333,0.808,0.221,105,95,0.235,0.504,0.344,0.364,0.353,0.269,91.2,21.7,33.7,14.6
"Wade Jr., LaMonte",Giants,1B,Left,Left,false,664774,2023,29,429,519,110,77,14,2,17,95,76,18.3,14.6,0.256,0.417,0.373,0.790,0.290,45,64,0.265,0.454,0.347,0.363,0.380,0.189,88.4,17.4,33.6,9.1
"Harper, Bryce",Phillies,DH,Left,Right,false,547180,2023,30,457,546,134,83,29,1,21,119,80,21.8,14.7,0.293,0.499,0.401,0.900,0.352,72,84,0.290,0.530,0.384,0.399,0.403,0.240,91.8,9.1,36.8,15.2
"Chapman, Matt",Blue Jays,3B,Right,Right,false,656305,2023,30,509,581,122,64,39,2,17,165,62,28.4,10.7,0.240,0.424,0.330,0.754,0.319,54,66,0.230,0.457,0.328,0.337,0.323,0.228,93.4,18.5,32.4,17.1
"Burger, Jake","White Sox,Marlins",3B,Right,Right,false,669394,2023,27,492,540,123,60,28,1,34,149,32,27.6,5.9,0.250,0.518,0.309,0.827,0.284,80,71,0.270,0.512,0.349,0.359,0.329,0.242,91.9,12.3,33.4,16.7
"India, Jonathan",Reds,2B,Right,Right,false,663697,2023,26,454,529,111,71,23,0,17,109,52,20.6,9.8,0.244,0.407,0.338,0.745,0.281,61,78,0.252,0.424,0.327,0.339,0.348,0.172,89.5,15.2,37.2,7.7
"Drury, Brandon",Angels,2B,Right,Right,false,592273,2023,30,485,523,127,68,30,3,26,136,25,26,4.8,0.262,0.497,0.306,0.803,0.308,83,61,0.252,0.440,0.339,0.318,0.299,0.188,89.9,11.8,35,11
"McKinstry, Zach",Tigers,RF,Left,Right,false,656716,2023,28,464,518,107,73,21,4,9,113,44,21.8,8.5,0.231,0.351,0.302,0.653,0.284,35,60,0.247,0.395,0.289,0.312,0.318,0.148,87.2,17.8,37.1,7.6
"Realmuto, J.T.",Phillies,C,Right,Right,false,592663,2023,32,489,540,123,70,28,5,20,138,35,25.6,6.5,0.252,0.452,0.310,0.762,0.307,63,70,0.254,0.462,0.324,0.334,0.315,0.208,89.8,16.7,36.2,11.2
"Raleigh, Cal",Mariners,C,Switch,Right,false,663728,2023,26,513,569,119,65,23,1,30,158,54,27.8,9.5,0.232,0.456,0.306,0.762,0.273,75,78,0.233,0.466,0.326,0.330,0.307,0.233,89.5,20.3,36.5,12.6
"Ohtani, Shohei",Angels,DH,Left,Right,true,660271,2023,28,497,599,151,73,26,8,44,143,91,23.9,15.2,0.304,0.654,0.412,1.066,0.342,95,102,0.295,0.638,0.433,0.427,0.406,0.343,94.4,13.2,35.6,19.6
"Rosario, Eddie",Braves,LF,Left,Right,false,592696,2023,31,478,516,122,74,24,3,21,122,34,23.6,6.6,0.255,0.450,0.305,0.755,0.300,74,64,0.254,0.436,0.322,0.317,0.304,0.181,88.6,14.5,35.9,9.5
"Garcia, Maikel",Royals,3B,Right,Right,false,672580,2023,23,464,515,126,98,20,4,4,115,38,22.3,7.4,0.272,0.358,0.323,0.681,0.344,50,59,0.274,0.393,0.299,0.319,0.330,0.119,91.8,6.1,36.9,3.9
"McMahon, Ryan",Rockies,3B,Left,Right,false,641857,2023,28,555,627,133,76,31,3,23,198,68,31.6,10.8,0.240,0.431,0.322,0.753,0.326,70,80,0.245,0.445,0.325,0.335,0.328,0.201,90.8,9.7,39.4,11.4
"Canha, Mark","Mets,Brewers",LF,Right,Right,false,592192,2023,34,435,507,114,77,25,1,11,79,49,15.6,9.7,0.262,0.400,0.355,0.755,0.293,62,51,0.248,0.381,0.333,0.323,0.345,0.133,87.9,13.1,30.9,4.7
"Melendez Jr., MJ",Royals,RF,Left,Right,false,669004,2023,24,533,602,125,75,29,5,16,170,62,28.2,10.3,0.235,0.398,0.316,0.714,0.311,56,65,0.235,0.432,0.310,0.325,0.318,0.197,93.2,16.9,34.6,11.4
"Soler, Jorge",Marlins,DH,Right,Right,true,624585,2023,31,504,580,126,66,24,0,36,141,66,24.3,11.4,0.250,0.512,0.341,0.853,0.272,75,77,0.262,0.532,0.361,0.374,0.354,0.270,91.3,17.8,36.5,15
"Cronenworth, Jake",Padres,1B,Left,Right,false,630105,2023,29,458,522,105,64,24,7,10,97,46,18.6,8.8,0.229,0.378,0.312,0.690,0.267,48,54,0.238,0.370,0.301,0.305,0.321,0.131,87.4,15.2,35.7,4.4
"Vierling, Matt",Tigers,RF,Right,Right,false,663837,2023,26,479,530,125,89,21,5,10,112,44,21.1,8.3,0.261,0.388,0.329,0.717,0.321,44,63,0.266,0.396,0.315,0.322,0.335,0.130,89.1,9.1,32.2,4.6
"Díaz, Elias",Rockies,C,Right,Right,true,553869,2023,32,486,526,130,90,25,1,14,118,34,22.4,6.5,0.267,0.409,0.316,0.725,0.324,72,48,0.245,0.376,0.314,0.296,0.297,0.131,88.1,12.7,31.2,6.2
"Anderson, Tim",White Sox,SS,Right,Right,false,641313,2023,30,493,524,121,100,18,2,1,122,26,23.3,5,0.245,0.296,0.286,0.582,0.323,25,52,0.252,0.335,0.260,0.279,0.295,0.082,87.8,2,32.4,2.9
"Schwarber, Kyle",Phillies,LF,Left,Right,false,656941,2023,30,585,720,115,48,19,1,47,215,126,29.9,17.5,0.197,0.474,0.343,0.817,0.209,104,108,0.220,0.485,0.350,0.364,0.362,0.266,92.4,19,34.3,16.4
"Hernández, Enrique","Red Sox,Dodgers",SS,Right,Right,false,571771,2023,31,465,508,110,76,23,0,11,97,34,19.1,6.7,0.237,0.357,0.289,0.646,0.273,61,57,0.224,0.337,0.282,0.272,0.280,0.113,87.8,17,31,4.5
"Profar, Jurickson","Rockies,Padres",LF,Switch,Right,false,595777,2023,30,459,521,111,73,27,2,9,90,50,17.3,9.6,0.242,0.368,0.321,0.689,0.279,46,55,0.247,0.349,0.304,0.306,0.329,0.102,86.5,14.8,37.7,4
"LeMahieu, DJ",Yankees,3B,Right,Right,false,518934,2023,34,497,562,121,81,22,3,15,125,60,22.2,10.7,0.243,0.390,0.327,0.717,0.295,44,55,0.255,0.393,0.315,0.322,0.339,0.138,89.6,3.8,31.6,5.9
"Renfroe, Hunter","Angels,Reds",RF,Right,Right,false,592669,2023,31,498,548,116,65,31,0,20,125,44,22.8,8,0.233,0.416,0.297,0.713,0.270,60,60,0.225,0.366,0.308,0.289,0.291,0.141,88.3,15,29.5,6.1
"Robert Jr., Luis",White Sox,CF,Right,Right,true,673357,2023,25,546,595,144,69,36,1,38,172,30,28.9,5,0.264,0.542,0.315,0.857,0.314,80,90,0.259,0.515,0.358,0.347,0.312,0.255,89.1,16.1,38,15.4
"Estrada, Thairo",Giants,2B,Right,Right,false,642731,2023,27,495,530,134,92,26,2,14,120,22,22.6,4.2,0.271,0.416,0.315,0.731,0.331,49,63,0.248,0.371,0.316,0.292,0.296,0.123,85.9,10.8,34.7,4.8
"Straw, Myles",Guardians,CF,Right,Right,false,664702,2023,28,462,518,110,88,18,3,1,97,42,18.7,8.1,0.238,0.297,0.301,0.598,0.295,29,52,0.239,0.300,0.268,0.272,0.303,0.061,86.3,9.4,34,0.5
"Volpe, Anthony",Yankees,SS,Right,Right,false,683011,2023,22,541,601,113,65,23,4,21,167,52,27.8,8.7,0.209,0.383,0.283,0.666,0.259,60,62,0.230,0.392,0.290,0.305,0.303,0.162,88.7,14.2,35.5,9
"Candelario, Jeimer","Nationals,Cubs",3B,Switch,Right,false,600869,2023,29,505,576,127,63,39,3,22,127,53,22,9.2,0.251,0.471,0.336,0.807,0.292,70,77,0.236,0.407,0.346,0.318,0.323,0.171,88.3,14.1,36.9,7.9
"Hays, Austin",Orioles,LF,Right,Right,true,669720,2023,27,520,566,143,89,36,2,16,141,38,24.9,6.7,0.275,0.444,0.325,0.769,0.345,67,76,0.242,0.420,0.330,0.309,0.296,0.178,89.4,10.4,31,8.9
"García, Adolis",Rangers,RF,Right,Right,true,666969,2023,30,555,632,136,68,29,0,39,175,65,27.7,10.3,0.245,0.508,0.328,0.836,0.280,107,108,0.250,0.526,0.354,0.366,0.334,0.276,92.1,15.7,36,16.1
"Correa, Carlos",Twins,SS,Right,Right,false,621043,2023,28,514,580,118,69,29,2,18,131,59,22.6,10.2,0.230,0.399,0.312,0.711,0.272,65,60,0.253,0.421,0.309,0.330,0.335,0.168,90.4,10.6,31.1,9.6
"Smith, Will",Dodgers,C,Right,Right,true,669257,2023,28,464,554,121,79,21,2,19,89,63,16.1,11.4,0.261,0.438,0.359,0.797,0.277,76,80,0.262,0.435,0.345,0.352,0.365,0.174,89.3,15.6,37.5,6.7
"Báez, Javier",Tigers,SS,Right,Right,false,595879,2023,30,510,547,113,82,18,4,9,125,24,22.9,4.4,0.222,0.325,0.267,0.592,0.274,59,58,0.238,0.360,0.261,0.283,0.284,0.122,88,9.4,28.9,5.2
"Paredes, Isaac",Rays,3B,Right,Right,false,670623,2023,24,492,571,123,68,24,0,31,104,58,18.2,10.2,0.250,0.488,0.352,0.840,0.257,98,71,0.230,0.369,0.362,0.315,0.335,0.139,86.9,22.2,32.4,5.9
"Arcia, Orlando",Braves,SS,Right,Right,true,606115,2023,28,488,533,129,87,25,0,17,102,39,19.1,7.3,0.264,0.420,0.321,0.741,0.301,65,66,0.247,0.398,0.321,0.307,0.306,0.152,88.2,5.4,30.6,6.9
"Suzuki, Seiya",Cubs,RF,Right,Right,false,673548,2023,28,515,583,147,90,31,6,20,130,59,22.3,10.1,0.285,0.485,0.357,0.842,0.341,74,75,0.283,0.469,0.358,0.357,0.358,0.187,91.4,10.8,36.5,10.5
"Hayes, Ke'Bryan",Pirates,3B,Right,Right,false,663647,2023,26,494,525,134,81,31,7,15,104,28,19.8,5.3,0.271,0.453,0.309,0.762,0.315,61,65,0.273,0.440,0.324,0.324,0.313,0.167,92.2,13.2,34.1,7.4
"Adames, Willy",Brewers,SS,Right,Right,false,642715,2023,27,553,638,120,65,29,2,24,165,71,25.9,11.1,0.217,0.407,0.310,0.717,0.259,80,73,0.240,0.436,0.311,0.335,0.332,0.196,87.4,18.2,35,12.4
"Seager, Corey",Rangers,SS,Left,Right,true,608369,2023,29,477,536,156,81,42,0,33,88,49,16.4,9.1,0.327,0.623,0.390,1.013,0.340,96,88,0.314,0.612,0.419,0.412,0.381,0.298,93.3,13,38,15.2
"Suárez, Eugenio",Mariners,3B,Right,Right,false,553993,2023,31,598,694,139,88,29,0,22,214,70,30.8,10.1,0.232,0.391,0.323,0.714,0.314,96,68,0.223,0.419,0.313,0.324,0.318,0.196,90.3,18.9,37.7,13.2
"Varsho, Daulton",Blue Jays,3B,Left,Right,false,662139,2023,26,527,581,116,70,23,3,20,135,45,23.2,7.7,0.220,0.389,0.285,0.674,0.256,61,65,0.232,0.394,0.293,0.302,0.298,0.161,87.8,20.5,34.3,7.3
"Ozuna, Marcell",Braves,DH,Right,Right,false,542303,2023,32,530,592,145,75,29,1,40,134,57,22.6,9.6,0.274,0.558,0.346,0.904,0.293,100,84,0.283,0.581,0.381,0.396,0.356,0.298,91.8,15.6,34.9,16.6
"Arozarena, Randy",Rays,LF,Right,Right,true,668227,2023,28,551,654,140,95,19,3,23,156,80,23.9,12.2,0.254,0.425,0.364,0.789,0.310,83,95,0.243,0.435,0.347,0.351,0.359,0.192,91.7,11.3,31.8,12.3
"Taveras, Leody",Rangers,CF,Switch,Right,false,665750,2023,24,511,554,136,88,31,3,14,117,35,21.1,6.3,0.266,0.421,0.312,0.733,0.318,67,67,0.270,0.407,0.316,0.319,0.320,0.136,90.1,10.2,35.2,7.2
"Edman, Tommy",Cardinals,SS,Switch,Right,false,669242,2023,28,479,528,119,77,25,4,13,84,35,15.9,6.6,0.248,0.399,0.307,0.706,0.275,47,69,0.262,0.390,0.306,0.312,0.321,0.128,89.1,7.5,27.9,5
"Henderson, Gunnar",Orioles,3B,Left,Right,false,683002,2023,22,560,622,143,77,29,9,28,159,56,25.6,9,0.255,0.489,0.325,0.814,0.306,82,100,0.261,0.472,0.346,0.346,0.331,0.212,92,11.4,32.9,11.4
"Harris II, Michael",Braves,CF,Left,Left,false,671739,2023,22,505,539,148,94,33,3,18,101,25,18.7,4.6,0.293,0.477,0.331,0.808,0.334,57,76,0.304,0.490,0.345,0.357,0.342,0.186,90.9,7.6,34.6,10
"Friedl Jr., TJ",Reds,CF,Left,Left,false,670770,2023,27,488,556,136,88,22,8,18,90,47,16.2,8.5,0.279,0.467,0.352,0.819,0.308,66,73,0.240,0.321,0.353,0.289,0.318,0.082,86.7,16.1,32,3.2
"Perez, Salvador",Royals,C,Right,Right,true,521692,2023,33,538,580,137,93,21,0,23,135,19,23.3,3.3,0.255,0.422,0.292,0.714,0.294,80,59,0.266,0.460,0.302,0.325,0.306,0.194,90.1,15.6,38,8.8
"Yelich, Christian",Brewers,LF,Left,Right,false,592885,2023,31,550,632,153,99,34,1,19,140,78,22.2,12.3,0.278,0.447,0.370,0.817,0.342,76,106,0.279,0.454,0.353,0.358,0.372,0.175,91.7,3.5,30.4,9.2
"Swanson, Dansby",Cubs,SS,Right,Right,true,621020,2023,29,565,638,138,88,25,3,22,154,66,24.1,10.3,0.244,0.416,0.328,0.744,0.297,80,81,0.255,0.458,0.325,0.345,0.338,0.203,89.3,13,35.1,10.9
"Crawford, J.P.",Mariners,SS,Left,Right,false,641487,2023,28,534,638,142,88,35,0,19,125,94,19.6,14.7,0.266,0.438,0.380,0.818,0.314,65,94,0.260,0.384,0.359,0.340,0.375,0.124,88.3,15.1,35.3,4.8
"Rosario, Amed","Guardians,Dodgers",SS,Right,Right,false,642708,2023,27,510,545,134,95,25,8,6,99,29,18.2,5.3,0.263,0.378,0.305,0.683,0.314,58,70,0.271,0.380,0.297,0.305,0.314,0.109,88.3,7.6,33.8,3.4
"Abreu, José",Astros,1B,Right,Right,false,547989,2023,36,540,594,128,86,23,1,18,130,42,21.9,7.1,0.237,0.383,0.296,0.679,0.276,90,62,0.248,0.409,0.295,0.314,0.311,0.161,89,10.8,32.5,8.7
"Bell, Josh","Guardians,Marlins",1B,Switch,Right,false,605137,2023,30,547,617,135,85,28,0,22,134,63,21.7,10.2,0.247,0.419,0.325,0.744,0.287,74,52,0.263,0.457,0.323,0.345,0.341,0.194,90.1,9.3,31.3,10.1
"Contreras, William",Brewers,C,Right,Right,false,661388,2023,25,540,611,156,100,38,1,17,126,63,20.6,10.3,0.289,0.457,0.367,0.824,0.348,78,86,0.255,0.433,0.357,0.335,0.338,0.179,91.3,4.7,27.1,9.4
"Tovar, Ezequiel",Rockies,SS,Right,Right,false,678662,2023,21,581,615,147,91,37,4,15,166,25,27,4.1,0.253,0.408,0.287,0.695,0.328,73,79,0.248,0.386,0.298,0.291,0.283,0.138,88,12.6,36.4,8.1
"Alonso, Pete",Mets,1B,Right,Right,true,624413,2023,28,568,658,123,54,21,2,46,151,65,22.9,9.9,0.217,0.504,0.318,0.822,0.205,118,92,0.246,0.527,0.346,0.368,0.343,0.281,89.5,18.2,32.3,14.7
"Hernández, Teoscar",Mariners,RF,Right,Right,false,606192,2023,30,625,678,161,104,29,2,26,211,38,31.1,5.6,0.258,0.435,0.305,0.740,0.342,93,70,0.258,0.476,0.317,0.336,0.308,0.218,91.3,12.3,35.2,13.8
"Kim, Ha-Seong",Padres,2B,Right,Right,false,673490,2023,27,538,626,140,100,23,0,17,124,75,19.8,12,0.260,0.398,0.351,0.749,0.306,60,84,0.245,0.359,0.330,0.313,0.339,0.114,86.2,13.6,36.1,4.2
"Bellinger, Cody",Cubs,CF,Left,Left,false,641355,2023,27,499,556,153,97,29,1,26,87,40,15.6,7.2,0.307,0.525,0.356,0.881,0.319,97,95,0.268,0.434,0.370,0.327,0.326,0.165,87.9,17.2,38,6.1
